TRAIN_ID,HEADCODE,SERVICE_GROUP,ORIGIN_DEP_TIME,ROUTE_START,ROUTE_END
C00057,1A94,EF04,15:18,PENZNCE,PADTON
C00122,1C36,EF01,23:33,PADTON,BRSTLTM
C00123,1L46,EF02,09:23,SWANSEA,PADTON
C00125,1L74,EF02,14:15,CMTHN,PADTON
C00135,2P36,EF11,17:08,EXETRSD,PLYMTH
C00139,1L92,EF02,18:23,SWANSEA,PADTON
C00158,1P68,EF03,15:31,HEREFRD,PADTON
C00159,1P74,EF03,16:58,GTMLVRN,PADTON
C00162,1P82,EF03,18:57,GTMLVRN,PADTON
C00163,1P88,EF03,20:46,GTMLVRN,PADTON
C00164,1W49,EF03,15:47,PADTON,GTMLVRN
C00165,1L42,EF02,08:35,SWANSEA,PADTON
C00166,1C20,EF01,15:30,PADTON,BRSTLTM
C00167,1C77,EF04,10:03,PADTON,PENZNCE
C00168,1W03,EF03,12:47,PADTON,HEREFRD
C00668,1D19,EF05,07:53,OXFD,PADTON
C00669,1A07,EF01,07:45,BRSTLTM,PADTON
C00671,1L32,EF02,08:30,BRSTPWY,PADTON
C00677,1D39,EF05,10:56,OXFD,PADTON
C00686,2K63,EF10,20:25,AVONMTH,BRSTLTM
C00688,2K67,EF10,21:28,AVONMTH,BRSTLTM
C00697,1P40,EF03,09:58,GTMLVRN,PADTON
C00698,1A13,EF01,11:00,BRSTLTM,PADTON
C00704,1D61,EF05,15:56,OXFD,PADTON
C00790,2V47,EF07,15:00,BNBR,OXFD
C00791,2V51,EF07,18:00,BNBR,OXFD
C00792,2V43,EF07,10:30,BNBR,OXFD
C00794,1N77,EF04,11:18,PLYMTH,NEWQUAY
C00796,1C99,EF04,11:03,PADTON,NEWQUAY
C00797,1V76,EF13,08:01,WEYMTH,CRDFCEN
C00812,1W59,EF03,17:47,PADTON,GTMLVRN
C00813,1A88,EF04,14:53,PAIGNTN,PADTON
C00814,2P71,EF05,17:12,DIDCOTP,PADTON
C00815,1D71,EF05,17:56,OXFD,PADTON
C00829,1A92,EF04,16:55,PAIGNTN,PADTON
C00835,1W39,EF03,13:47,PADTON,GTMLVRN
C00836,1W08,EF03,18:47,PADTON,HEREFRD
C00838,1C35,EF01,22:45,PADTON,BRSTPWY
C00839,1C24,EF01,17:30,PADTON,BRSTLTM
C00840,1B40,EF02,13:45,PADTON,CMTHN
C00842,1A89,EF04,13:33,NEWQUAY,PADTON
C00843,1A36,EF04,20:14,PLYMTH,PADTON
C00844,1A96,EF04,16:18,PENZNCE,PADTON
C00847,1A28,EF01,18:00,BRSTLTM,PADTON
C00848,1W02,EF03,11:47,PADTON,HEREFRD
C00849,1W01,EF03,09:47,PADTON,HEREFRD
C00850,1F13,EF13,11:25,CRDFCEN,WRMNSTR
C00851,1C91,EF04,18:03,PADTON,PENZNCE
C00852,1F19,EF13,13:25,CRDFCEN,WRMNSTR
C00853,1C88,EF04,16:03,PADTON,PENZNCE
C00854,1C86,EF04,15:03,PADTON,PLYMTH
C00861,1D42,EF05,21:19,PADTON,OXFD
C01009,2M42,EF07,09:44,OXFD,BNBR
C01010,2M46,EF07,14:18,OXFD,BNBR
C01011,2M50,EF07,17:17,OXFD,BNBR
C01221,1C81,EF04,12:03,PADTON,PENZNCE
C01222,1C75,EF04,07:59,PADTON,PENZNCE
C01223,1C14,EF01,12:30,PADTON,BRSTLTM
C01224,1B93,EF02,21:45,PADTON,SWANSEA
C01225,1B91,EF02,20:45,PADTON,SWANSEA
C01226,1B28,EF02,11:45,PADTON,CMTHN
C01227,1B25,EF02,10:45,PADTON,SWANSEA
C01228,1B20,EF02,09:35,PADTON,CMTHN
C01229,1B06,EF02,10:27,SWANSEA,CMTHN
C01230,1A95,EF04,17:45,PLYMTH,PADTON
C01231,1A10,EF01,08:29,WSMARE,PADTON
C01232,1A12,EF01,10:00,BRSTLTM,PADTON
C01233,1A15,EF01,11:30,WSMARE,PADTON
C01234,1A24,EF01,16:00,BRSTLTM,PADTON
C01235,1A34,EF01,21:00,BRSTLTM,PADTON
C01236,1A79,EF04,09:14,PLYMTH,PADTON
C01237,1A80,EF04,08:10,PENZNCE,PADTON
C01238,1A82,EF04,09:09,PENZNCE,PADTON
C01239,1A26,EF04,17:00,BRSTLTM,PADTON
C01240,1A90,EF04,14:18,PENZNCE,PADTON
C01589,2R22,EF11,10:38,BRNSTPL,EXETERC
C01590,2R27,EF11,12:36,BRNSTPL,EXETERC
C01591,2R29,EF11,13:36,BRNSTPL,EXETERC
C01592,2R31,EF11,14:31,BRNSTPL,EXETERC
C01593,2R33,EF11,15:32,BRNSTPL,EXETERC
C01594,2R35,EF11,16:30,BRNSTPL,EXETERC
C01595,2R37,EF11,17:37,BRNSTPL,EXETERC
C01596,2R39,EF11,18:32,BRNSTPL,EXETERC
C02437,2K45,EF07,09:30,BEDYN,RDNGSTN
C02438,2K49,EF07,10:40,BEDYN,RDNGSTN
C02440,2K61,EF07,12:36,BEDYN,RDNGSTN
C02441,2K67,EF07,14:39,BEDYN,RDNGSTN
C02442,2K75,EF07,16:41,BEDYN,RDNGSTN
C02443,2K80,EF07,18:40,BEDYN,RDNGSTN
C02444,2K91,EF07,20:40,BEDYN,RDNGSTN
C02445,2K95,EF07,22:34,BEDYN,RDNGSTN
C02505,1D47,EF05,12:56,OXFD,PADTON
C02507,1A16,EF01,13:32,RDNGSTN,PADTON
C02510,1A18,EF01,13:00,BRSTLTM,PADTON
C02512,1D51,EF05,13:56,OXFD,PADTON
C02513,1A83,EF04,10:12,PENZNCE,PADTON
C03025,2J70,EF07,22:06,BSNGSTK,RDNGSTN
C03038,2J16,EF07,09:06,BSNGSTK,RDNGSTN
C03044,2J22,EF07,10:06,BSNGSTK,RDNGSTN
C03049,2J26,EF07,11:06,BSNGSTK,RDNGSTN
C03054,2J30,EF07,12:07,BSNGSTK,RDNGSTN
C03059,2J34,EF07,13:07,BSNGSTK,RDNGSTN
C03064,2J38,EF07,14:06,BSNGSTK,RDNGSTN
C03069,2J42,EF07,15:06,BSNGSTK,RDNGSTN
C03074,2J46,EF07,16:06,BSNGSTK,RDNGSTN
C03079,2J50,EF07,17:06,BSNGSTK,RDNGSTN
C03084,2J54,EF07,18:06,BSNGSTK,RDNGSTN
C03089,2J58,EF07,19:06,BSNGSTK,RDNGSTN
